PK,NOMBRE,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,TIPO
5236471,Casa de Ni�os Giner de los R�os," BUS:  24, 102, 103, 111, 144 ", ENSE�ANZA: Educaci�n infantil (Primer Ciclo) ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cff7d468e4b4f110VgnVCM2000000c205a0aRCRD,MEMBEZAR,CALLE,V,25,MADRID,MADRID,28053,ENTREVIAS,PUENTE DE VALLECAS,443366,4470305,40.379529471156005,-3.6684765035279683,917 860 722,917 860 722,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
73983,Casa de Ni�os Lope de Vega," METRO: Urgel   BUS: 34 , 35 , 118 , 119 ", ENSE�ANZA: Educaci�n infantil (Primer Ciclo) ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e26f68540e41c010VgnVCM2000000c205a0aRCRD,INGLATERRA,CALLE,NUM,8,MADRID,MADRID,28019,SAN ISIDRO,CARABANCHEL,438731,4472019,40.39460546257796,-3.7232402248952865,914 722 560,914 722 560,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
87760,Casa de Ni�os Nuestra Se�ora de la Fuencisla,"BUS: 18 , 22 , 59 , 76 , 79 , 85 , 86 RENFE: Doce de Octubre", ENSE�ANZA: Educaci�n infantil (Primer Ciclo)  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fdfd38d60b41c010VgnVCM2000000c205a0aRCRD,TOMELLOSO,CALLE,NUM,40,MADRID,MADRID,28026,ALMENDRALES,USERA,440860,4470369,40.37993160366385,-3.698002522406683,914 752 598,914 752 598,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
73972,Casa de Ni�os Rep�blica de Brasil,"BUS: 18 , 22 , 23 , 59 , 76 , 78 , 79 , 85 , 86 , 123 ", ENSE�ANZA: Educaci�n infantil (Primer ciclo)  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=387f68540e41c010VgnVCM2000000c205a0aRCRD,FUEROS,AVENIDA,NUM,34,MADRID,MADRID,28041,SAN FERMIN,USERA,441571,4469288,40.37024359769827,-3.6895277937794146,914 758 106,914 758 106,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
73975,Casa de Ni�os San Miguel," Metro: Hortaleza Bus: 107 , 120 , 125 , 172 ", ENSE�ANZA: Educaci�n Infantil (Primer ciclo)  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d2af68540e41c010VgnVCM2000000c205a0aRCRD,VIRGEN DEL CARMEN,AVENIDA,V,32,MADRID,MADRID,28033,PINAR DEL REY,HORTALEZA,444823,4480826,40.47440638983908,-3.6522282145254072,913 820 145,913 820 145,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
5201907,Centro  de Educaci�n Especial Colegio Gaudem,BUS: 105,  Ense�anzas   Educaci�n especial:   Educaci�n B�sica Obligatoria  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b000325a3e78e110VgnVCM2000000c205a0aRCRD,PLAYA DE BARLOVENTO,CALLE,V,14,MADRID,MADRID,28042,TIMON,BARAJAS,449767,4480668,40.4732974354175,-3.593893756961978,913 886 477,913 003 202,/contenido/entidadesYorganismos/CentrosEducacion/CentrosPrivadosConcertadosEducacionEspecial
6579,Centro Bobath de educaci�n de adultos,"Bus: 49, 64",  Ense�anzas    Educaci�n Secundaria Obligatoria para personas adultas  Ense�anzas Iniciales B�sicas para personas adultas  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd5a3b54d771c010VgnVCM1000000b205a0aRCRD,MIRADOR DE LA REINA,CALLE,V,115,MADRID,MADRID,28035,MIRASIERRA,FUENCARRAL-EL PARDO,439096,4482690,40.49079695176469,-3.7199649708829012,913 767 190 ,913 763 588,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
7524848,Centro Bobath de Formaci�n Profesional," Metro: Lacoma (l�nea 7)  Bus: 49, 64 ",  Ense�anzas impartidas    Grado medio:     Gesti�n Administrativa  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=57976295cea86410VgnVCM2000000c205a0aRCRD,DEL MIRADOR DE LA REINA,CALLE,V,115,MADRID,MADRID,28035,MIRASIERRA,FUENCARRAL-EL PARDO,439096,4482690,40.49079695176469,-3.7199649708829012,913 767 190,913 763 588,/contenido/entidadesYorganismos/CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados
84543,"Centro de Educaci�n de Adultos Centro Polit�cnico a distancia y Editorial CPD, SL"," Bus: 67, 83, 125, 178 ",  Ense�anzas    Educaci�n Secundaria Obligatoria para personas adultas  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=783238d60b41c010VgnVCM2000000c205a0aRCRD,DE SANGENJO,CALLE,V,34,MADRID,MADRID,28034,LA PAZ,FUENCARRAL-EL PARDO,440922,4482255,40.487010524957164,-3.6983790971819825,913 781 432,917 390 931,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6578,Centro de Educaci�n de Adultos Centro-Taller Norte Joven," Bus: 66, 124, 137 ",  Ense�anzas     Educaci�n Secundaria Obligatoria para personas adultas   Ense�anzas Iniciales B�sicas para personas adultas   ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c84a3b54d771c010VgnVCM1000000b205a0aRCRD,CARDENAL HERRERA ORIA,AVENIDA,V,78,MADRID,MADRID,28034,VALVERDE,FUENCARRAL-EL PARDO,441713,4482729,40.4913365188733,-3.6890901420837414,917 342 398 / 913 721 506,917 350 393,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
5756385,Centro de Educaci�n de Adultos Cen-Taller Norte Joven Villa de Vallecas," Metro: Villa de Vallecas (l�nea 1)  Bus: 54, 103, 142 ",  Ense�anzas     Educaci�n Secundaria Obligatoria para personas adultas   Ense�anzas Iniciales B�sicas para personas adultas   ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4df34c16151b9210VgnVCM1000000b205a0aRCRD,PE�A VEIGA,CALLE,V,S/N,MADRID,MADRID,28031,CASCO H.VALLECAS,VILLA DE VALLECAS,447195,4469994,40.37697971344687,-3.6233455122737763,917 787 095,917 785 046,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
5756430,Centro de Educaci�n de Adultos CICA," Bus: 55, 60, 116 ",  Ense�anzas     Educaci�n Secundaria Obligatoria para personas adultas   Ense�anzas Iniciales B�sicas para personas adultas   ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7789a75c271b9210VgnVCM1000000b205a0aRCRD,EDUARDO RIVAS,CALLE,V,10 - 12,MADRID,MADRID,28019,COMILLAS,CARABANCHEL,439466,4471552,40.39048837502857,-3.7145361365597314,913 721 506,917 350 393,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
176172,Centro de Educaci�n de Adultos Nazaret,,  Ense�anzas     Educaci�n Secundaria Obligatoria para personas adultas   Ense�anzas Iniciales B�sicas para personas adultas   ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4f157a7e0a61c010VgnVCM1000000b205a0aRCRD,CUART DE POBLET,CALLE,V,6,MADRID,MADRID,28047,LUCERO,LATINA,436305,4472321,40.39717971610274,-3.7518546091873803,914 654 789,,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
84537,Centro de Educaci�n de Adultos Oscus - Vallecas," Metro: Nueva Numancia  (l�nea 1), Portazgo (l�nea 1)  Bus: 10, 24, 54, 57, 58, 111, 136, 310  ",  Ense�anzas     Educaci�n Secundaria Obligatoria para personas adultas   Ense�anzas Iniciales B�sicas para personas adultas   ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=477238d60b41c010VgnVCM2000000c205a0aRCRD,ARROYO DEL OLIVAR,CALLE,V,10,MADRID,MADRID,28053,SAN DIEGO,PUENTE DE VALLECAS,443659,4471853,40.393494670954055,-3.6651621915794976,914 775 995,914 780 975,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
84541,Centro de Educaci�n de Adultos Practivox," Metro: Ant�n Mart�n (l�nea 1)  Bus: 6, 10, 14, 27, 26, 32, 34, 37, 45 ",  Ense�anza     Educaci�n Secundaria Obligatoria para personas adultas  Ense�anzas Iniciales B�sicas para personas adultas  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=16b238d60b41c010VgnVCM2000000c205a0aRCRD,ATOCHA,CALLE,V,93,MADRID,MADRID,28012,CORTES,CENTRO,441027,4473825,40.4110769030912,-3.696355963929671,913 690 029 / 914 293 000,914 291 408,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6471158,Centro de Educaci�n de Adultos Radio ECCA," Metro: Alonso Mart�nez (l�neas 4, 5, 10)  Bus: 3, 37 ",  Ense�anzas:     Educaci�n Secundaria Obligatoria para personas adultas  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2dc842574b5e7310VgnVCM2000000c205a0aRCRD,HERMANOS �LVAREZ QUINTERO,CALLE,V,2,MADRID,MADRID,28004,JUSTICIA,CENTRO,440948,4475616,40.42720547935306,-3.6974535971175966,915 930 990 ,914 474 045,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6594,Centro de Educaci�n de Personas Adultas (CEPA)  Cultural Moratalaz," Metro: Artilleros (l�nea 9)  Bus: 8, 20, 30, 100 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bcab3b54d771c010VgnVCM1000000b205a0aRCRD,CORREGIDOR ALONSO DE TOBAR,CALLE,V,7,MADRID,MADRID,28030,FONTARRON,MORATALAZ,444999,4473009,40.40399829023218,-3.6494857943945744,914 370 219,914 378 411,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6573,Centro de Educaci�n de Personas Adultas (CEPA) Aluche," Metro: Aluche , Eugenia de Montijo (l�nea 5)  Bus: 17, 31, 121   Renfe: Aluche  ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a27a3b54d771c010VgnVCM1000000b205a0aRCRD,OCA�A,CALLE,V,35 bis,MADRID,MADRID,28047,ALUCHE,LATINA,436030,4470956,40.38486212353847,-3.7549575081343076,917 179 100,917 171 035,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6593,Centro de Educaci�n de Personas Adultas (CEPA) Arganzuela," Metro: Delicias (l�nea 3)  Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 78, 148, 247 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=978a3b54d771c010VgnVCM1000000b205a0aRCRD,BATALLA DEL SALADO,CALLE,V,29,MADRID,MADRID,28045,DELICIAS,ARGANZUELA,441038,4472649,40.40048368420502,-3.6961171737949052,915 395 395,915 395 395,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6568,Centro de Educaci�n de Personas Adultas (CEPA) Canillejas," Metro: Las Musas (l�nea 7)  Bus: 28, 48, 140 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8c9a3b54d771c010VgnVCM1000000b205a0aRCRD,MUSAS,CALLE,V,11,MADRID,MADRID,28022,CANILLEJAS,SAN BLAS-CANILLEJAS,448512,4476732,40.43776263645119,-3.6083782410803944,917 411 860,913 200 943,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6559,Centro de Educaci�n de Personas Adultas (CEPA) Cid Campeador," Bus: 17, 117, 139  Renfe: Fanjul  ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=71ba3b54d771c010VgnVCM1000000b205a0aRCRD,GENERAL GARCIA ESC�MEZ,CALLE,V,12,MADRID,MADRID,28044,LAS AGUILAS,LATINA,434692,4470632,40.38183942270506,-3.7706865301632817,917 058 402,915 095 174,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6600,Centro de Educaci�n de Personas Adultas (CEPA) Ciudad Lineal," Metro: Garc�a Noblejas (l�nea 7)  Bus: 4, 28, 38, 48, 70 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d28b3b54d771c010VgnVCM1000000b205a0aRCRD,HERMANOS GARCIA NOBLEJAS,CALLE,V,70,MADRID,MADRID,28037,PUEBLO NUEVO,CIUDAD LINEAL,446486,4475812,40.42934657144525,-3.6321872882400443,917 545 206,913 045 783,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6575,Centro de Educaci�n de Personas Adultas (CEPA) Dao�z y Velarde," Bus: 60, 78, 81, 116  Cercan�as: Orcasitas (C5) ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66ca3b54d771c010VgnVCM1000000b205a0aRCRD,FERNANDO ORTIZ,CALLE,V,2,MADRID,MADRID,28041,ORCASUR,USERA,440442,4468965,40.367253786749025,-3.7027950597553976,915 651 055,915 697 036,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
106258,Centro de Educaci�n de Personas Adultas (CEPA) Distrito Centro," Metro: Noviciado (l�nea 2)  Bus: 3, 147 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0aea8899fc81c010VgnVCM1000000b205a0aRCRD,SAN BERNARDO,CALLE,V,70 PISO 2,MADRID,MADRID,28015,UNIVERSIDAD,CENTRO,440187,4475597,40.426979851696025,-3.7064224997167394,915 329 959,915 329 959,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6566,Centro de Educaci�n de Personas Adultas (CEPA) Dulce Chac�n," Metro: Hortaleza , Parque de Santa Mar�a (l�nea 4)  Bus: 9, 107, 172 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5bda3b54d771c010VgnVCM1000000b205a0aRCRD,ABERTURA,CALLE,V,2,MADRID,MADRID,28033,PINAR DEL REY,HORTALEZA,445049,4481134,40.477196015327394,-3.6495889651502766,913 811 272,917 630 931,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6565,Centro de Educaci�n de Personas Adultas (CEPA) Entrev�as," Bus: 102, 103, 111 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=40fa3b54d771c010VgnVCM1000000b205a0aRCRD,SERENA,CALLE,V,394,MADRID,MADRID,28053,ENTREVIAS,PUENTE DE VALLECAS,443278,4469978,40.376577663075956,-3.669483966695049,917 861 672 / 915 076 656,917 852 574,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6569,Centro de Educaci�n de Personas Adultas (CEPA) Fuencarral," Metro: Fuencarral (l�nea 10)  Bus: 66, 137 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=350b3b54d771c010VgnVCM1000000b205a0aRCRD,BRAILLE,CALLE,V,10,MADRID,MADRID,28034,VALVERDE,FUENCARRAL-EL PARDO,441338,4483232,40.495841261764475,-3.6935615255165604,917 364 684,917 340 489,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6576,Centro de Educaci�n de Personas Adultas (CEPA) Hortaleza - Mar Amarillo," Metro: San Lorenzo (L�nea 4)  Bus: 9, 72, 87, 107 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2a1b3b54d771c010VgnVCM1000000b205a0aRCRD,MAR AMARILLO,CALLE,V,21,MADRID,MADRID,28033,PINAR DEL REY,HORTALEZA,445769,4480852,40.47470304573574,-3.641071021006061,917 637 790,913 820 234,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6572,Centro de Educaci�n de Personas Adultas (CEPA) Joaqu�n Sorolla," Metro: Diego de Le�n (l�neas 4, 5, 6)  Bus: 1, 12, 26, 43, 48, 56, 61, 72, 73,  C1 ,  C2  ",  Ense�anzas    Educaci�n Secundaria Obligatoria para personas adultas ( LOE ) - Presencial y a distancia  Desarrollo personal  Franc�s  Ingl�s  Inform�tica  Inform�tica Ofim�tica  T�cnico Profesional  Preparaci�n acceso Ciclos Formativos GS  Espa�ol para inmigrantes  Ense�anzas iniciales b�sicas para personas adultas ( LOE )  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f2b3b54d771c010VgnVCM1000000b205a0aRCRD,ALONSO HEREDIA,CALLE,V,16,MADRID,MADRID,28028,GUINDALERA,SALAMANCA,443042,4476518,40.43547750284264,-3.672838525590714,917 261 664  ,917 256 032,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
6590,Centro de Educaci�n de Personas Adultas (CEPA) Jos� Luis Sampedro," Metro: Pe�agrande (l�nea 7)   Bus: 42, 49, 126, 128, 132, 137 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=044b3b54d771c010VgnVCM1000000b205a0aRCRD,CHANTADA,CALLE,V,34,MADRID,MADRID,28029,EL PILAR,FUENCARRAL-EL PARDO,439653,4480756,40.47341555776938,-3.713208438461479,913 781 949,917 301 887,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos
